"Chimp","Partner","Condition","Session","Trial_New","nr","Food","Subject_1","Partner_2","Subject_3","Strong_Evidence_Subject","Strong_Evidence_Partner"
"Asega","Rambo","Subject +, Partner +",1,"Filler_PC1",1,"Front",NA,"Back",NA,NA,"Front"
"Asega","Rambo","Subject +, Partner +",1,"Filler_PC2",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject +, Partner +",1,"Filler_PC3",1,"Front",NA,"Front",NA,NA,"Front"
"Asega","Rambo","Subject +, Partner +",1,"Filler_PC4",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject +, Partner +",1,"Filler_PE1",1,"Back",NA,"Back","Front",NA,"Back"
"Asega","Rambo","Subject +, Partner +",1,"Filler_PE2",1,"Front",NA,"Front","Front",NA,"Front"
"Asega","Rambo","Subject +, Partner +",1,"Filler_PE3",1,"Back",NA,"Back","Front",NA,"Back"
"Asega","Rambo","Subject +, Partner +",1,"Filler_PE4",1,"Front",NA,"Front","Front",NA,"Front"
"Asega","Rambo","Subject +, Partner +",1,"Trial_1",1,"Front","Front","Back","Back","Front","Back"
"Asega","Rambo","Subject +, Partner +",1,"Trial_2",1,"Front","Front","Back","Back","Front","Back"
"Asega","Rambo","Subject +, Partner +",1,"Trial_3",1,"Back","Back","Front","Front","Back","Front"
"Asega","Rambo","Subject +, Partner +",1,"Trial_4",1,"Back","Back","Front","Back","Back","Front"
"Asega","Rambo","Subject +, Partner +",1,"Trial_5",1,"Front","Front","Back","Front","Front","Back"
"Asega","Rambo","Subject +, Partner +",1,"Trial_6",1,"Back","Back","Front","Front","Back","Front"
"Asega","Rambo","Subject +, Partner +",1,"Trial_7",1,"Back","Back","Front","Front","Back","Front"
"Asega","Rambo","Subject +, Partner +",1,"Trial_8",1,"Front","Front","Back","Back","Front","Back"
"Asega","Rambo","Subject +, Partner -",2,"Filler_PC1",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject +, Partner -",2,"Filler_PC2",1,"Front",NA,"Front",NA,NA,"Front"
"Asega","Rambo","Subject +, Partner -",2,"Filler_PC3",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject +, Partner -",2,"Filler_PC4",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject +, Partner -",2,"Filler_PE1",1,"Front",NA,"Front","Front",NA,"Front"
"Asega","Rambo","Subject +, Partner -",2,"Filler_PE2",1,"Back",NA,"Back","Back",NA,"Back"
"Asega","Rambo","Subject +, Partner -",2,"Filler_PE3",1,"Back",NA,"Back","Front",NA,"Back"
"Asega","Rambo","Subject +, Partner -",2,"Filler_PE4",1,"Back",NA,"Back","Back",NA,"Back"
"Asega","Rambo","Subject +, Partner -",2,"Trial_1",1,"Back","Back","Front","Back","Back","None"
"Asega","Rambo","Subject +, Partner -",2,"Trial_2",1,"Back","Back","Front","Back","Back","None"
"Asega","Rambo","Subject +, Partner -",2,"Trial_3",1,"Front","Front","Back","Front","Front","None"
"Asega","Rambo","Subject +, Partner -",2,"Trial_4",1,"Front","Front","Back","Front","Front","None"
"Asega","Rambo","Subject +, Partner -",2,"Trial_5",1,"Back","Back","Front","Back","Back","None"
"Asega","Rambo","Subject +, Partner -",2,"Trial_6",1,"Front","Front","Back","Front","Front","None"
"Asega","Rambo","Subject +, Partner -",2,"Trial_7",1,"Front","Front","Back","Front","Front","None"
"Asega","Rambo","Subject +, Partner -",2,"Trial_8",1,"Back","Back","Front","Back","Back","None"
"Asega","Rambo","Subject -, Partner +",4,"Filler_PC1",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject -, Partner +",4,"Filler_PC2",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject -, Partner +",4,"Filler_PC3",1,"Front",NA,"Front",NA,NA,"Front"
"Asega","Rambo","Subject -, Partner +",4,"Filler_PC4",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject -, Partner +",4,"Filler_PE1",1,"Back",NA,"Back","Front",NA,"Back"
"Asega","Rambo","Subject -, Partner +",4,"Filler_PE2",1,"Front",NA,"Front","Front",NA,"Front"
"Asega","Rambo","Subject -, Partner +",4,"Filler_PE3",1,"Back",NA,"Back","Back",NA,"Back"
"Asega","Rambo","Subject -, Partner +",4,"Filler_PE4",1,"Front",NA,"Front","Front",NA,"Front"
"Asega","Rambo","Subject -, Partner +",4,"Trial_1",1,"Front","Back","Front","Front","None","Front"
"Asega","Rambo","Subject -, Partner +",4,"Trial_2",1,"Front","Front","Back","Back","None","Front"
"Asega","Rambo","Subject -, Partner +",4,"Trial_3",1,"Front","Back","Front","Front","None","Front"
"Asega","Rambo","Subject -, Partner +",4,"Trial_4",1,"Front","Back","Front","Front","None","Front"
"Asega","Rambo","Subject -, Partner +",4,"Trial_5",1,"Front","Back","Front","Front","None","Front"
"Asega","Rambo","Subject -, Partner +",4,"Trial_6",1,"Back","Front","Back","Front","None","Back"
"Asega","Rambo","Subject -, Partner +",4,"Trial_7",1,"Back","Front","Back","Front","None","Back"
"Asega","Rambo","Subject -, Partner +",4,"Trial_8",1,"Back","Front","Back","Back","None","Back"
"Asega","Rambo","Subject -, Partner -",3,"Filler_PC1",1,"Front",NA,"Front",NA,NA,"Front"
"Asega","Rambo","Subject -, Partner -",3,"Filler_PC2",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject -, Partner -",3,"Filler_PC3",1,"Front",NA,"Front",NA,NA,"Front"
"Asega","Rambo","Subject -, Partner -",3,"Filler_PC4",1,"Back",NA,"Back",NA,NA,"Back"
"Asega","Rambo","Subject -, Partner -",3,"Filler_PE1",1,"Back",NA,"Back","Back",NA,"Back"
"Asega","Rambo","Subject -, Partner -",3,"Filler_PE2",1,"Front",NA,"Front","Front",NA,"Front"
"Asega","Rambo","Subject -, Partner -",3,"Filler_PE3",1,"Front",NA,"Front","Front",NA,"Front"
"Asega","Rambo","Subject -, Partner -",3,"Filler_PE4",1,"Front",NA,"Front","Front",NA,"Front"
"Asega","Rambo","Subject -, Partner -",3,"Trial_1",1,"Front","Front","Back","Front","None","None"
"Asega","Rambo","Subject -, Partner -",3,"Trial_2",1,NA,"Back","Front","Back","None","None"
"Asega","Rambo","Subject -, Partner -",3,"Trial_3",1,"Front","Back","Front","Front","None","None"
"Asega","Rambo","Subject -, Partner -",3,"Trial_4",1,NA,"Back","Front","Back","None","None"
"Asega","Rambo","Subject -, Partner -",3,"Trial_5",1,"Front","Back","Front","Back","None","None"
"Asega","Rambo","Subject -, Partner -",3,"Trial_6",1,NA,"Front","Back","Front","None","None"
"Asega","Rambo","Subject -, Partner -",3,"Trial_7",1,"Front","Back","Front","Back","None","None"
"Asega","Rambo","Subject -, Partner -",3,"Trial_8",1,NA,"Front","Back","Front","None","None"
"Baluku","Rambo","Subject +, Partner +",4,"Filler_PC1",9,"Back",NA,"Back",NA,NA,"Back"
"Baluku","Rambo","Subject +, Partner +",4,"Filler_PC2",9,"Front",NA,"Front",NA,NA,"Front"
"Baluku","Rambo","Subject +, Partner +",4,"Filler_PC3",9,"Front",NA,"Front",NA,NA,"Front"
"Baluku","Rambo","Subject +, Partner +",4,"Filler_PC4",9,"Back",NA,"Back",NA,NA,"Back"
"Baluku","Rambo","Subject +, Partner +",4,"Filler_PE1",9,"Back",NA,"Back","Back",NA,"Back"
"Baluku","Rambo","Subject +, Partner +",4,"Filler_PE2",9,"Back",NA,"Back","Back",NA,"Back"
"Baluku","Rambo","Subject +, Partner +",4,"Filler_PE3",9,"Back",NA,"Back","Back",NA,"Back"
